Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,SUMPF,1.991,2.000,1.124,200.00,1650,true
2000,0,1,GRASLAND,0.727,1.235,0.500,200.00,257,true
2000,0,2,SUMPF,0.727,1.235,0.500,200.00,294,true
2000,0,3,GRASLAND,0.954,1.235,0.500,200.00,161,true
2000,0,4,WÜSTE,1.160,1.728,0.500,85.98,2,true
2000,0,5,VULKAN,2.000,1.616,2.000,9.65,19,true
2000,0,6,WÜSTE,1.753,1.631,2.000,94.84,1,true
2000,0,7,SUMPF,2.000,2.000,1.935,200.00,344,true
2000,0,8,SUMPF,1.835,2.000,1.558,200.00,516,true
2000,0,9,GRASLAND,2.000,2.000,1.990,200.00,236,true
2000,0,10,VULKAN,1.608,1.795,2.000,46.24,6,true
2000,0,11,TUNDRA,2.000,2.000,1.990,52.94,23,true
2000,0,12,WÜSTE,2.000,2.000,1.990,48.92,28,true
2000,0,13,TUNDRA,1.260,2.000,2.000,98.95,24,true
2000,0,14,WÜSTE,2.000,1.657,2.000,84.22,4,true
2000,0,15,SUMPF,2.000,1.657,2.000,69.44,71,true
2000,0,16,TUNDRA,1.777,2.000,1.308,93.75,810,true
2000,0,17,OZEAN,2.000,1.878,2.000,200.00,54,true
2000,0,18,OZEAN,2.000,1.878,1.336,200.00,50,true
2000,0,19,VULKAN,1.979,1.878,1.336,57.35,5,true
2000,0,20,VULKAN,1.480,0.705,0.949,16.08,7,true
2000,0,21,WALD,2.000,1.116,1.258,132.64,115,true
2000,0,22,TUNDRA,2.000,1.116,1.258,36.94,9,true
2000,0,23,TUNDRA,0.608,1.905,1.264,92.23,7,true
2000,0,24,SUMPF,0.661,1.905,2.000,103.46,14,true
2000,0,25,VULKAN,0.782,1.905,2.000,82.47,2,true
2000,0,26,TUNDRA,0.661,2.000,2.000,86.95,32,true
2000,0,27,OZEAN,0.614,2.000,1.555,200.00,209,true
2000,0,28,WALD,0.500,2.000,0.500,200.00,465,true
2000,0,29,WALD,0.815,2.000,1.207,178.25,40,true
2000,0,30,GEBIRGE,0.694,2.000,0.500,200.00,1187,true
2000,0,31,WÜSTE,1.051,1.865,1.783,68.91,5,true
2000,0,32,WALD,1.051,1.865,1.783,169.05,84,true
2000,0,33,WÜSTE,1.051,1.865,1.783,37.82,10,true
2000,0,34,OZEAN,0.500,1.628,0.874,200.00,618,true
2000,0,35,WÜSTE,0.674,2.000,0.643,50.40,8,true
2000,0,36,WALD,0.674,2.000,0.500,168.03,59,true
2000,0,37,WALD,0.674,2.000,0.500,200.00,159,true
2000,0,38,GEBIRGE,0.514,2.000,0.522,200.00,197,true
2000,0,39,WÜSTE,0.500,2.000,0.798,81.40,3,true
2000,0,40,OZEAN,0.514,2.000,0.798,147.68,15,true
2000,0,41,SUMPF,1.210,2.000,0.851,200.00,605,true
2000,0,42,GEBIRGE,0.826,1.753,1.106,100.05,1,true
2000,0,43,GRASLAND,0.842,2.000,1.809,200.00,322,true
2000,0,44,GEBIRGE,0.563,2.000,0.728,64.76,115,true
2000,0,45,GRASLAND,0.563,1.406,1.117,158.25,105,true
2000,0,46,OZEAN,0.724,1.406,1.117,126.81,47,true
2000,0,47,OZEAN,0.724,1.406,1.117,67.00,41,true
2000,0,48,GRASLAND,0.563,1.406,1.431,150.39,90,true
2000,0,49,WÜSTE,0.563,1.827,1.431,26.19,11,true
2000,1,0,WÜSTE,0.614,1.235,0.500,100.00,0,true
2000,1,1,WALD,0.727,1.235,0.500,150.00,48,true
2000,1,2,OZEAN,1.514,2.000,0.500,200.00,685,true
2000,1,3,GRASLAND,0.954,1.235,0.500,99.39,56,true
2000,1,4,TUNDRA,0.954,1.235,0.500,60.85,6,true
2000,1,5,OZEAN,2.000,1.578,1.935,200.00,177,true
2000,1,6,VULKAN,2.000,1.631,2.000,81.46,2,true
2000,1,7,GRASLAND,2.000,1.631,2.000,124.87,33,true
2000,1,8,SUMPF,1.952,1.925,1.577,168.99,69,true
2000,1,9,GEBIRGE,1.952,2.000,1.577,109.23,2,true
2000,1,10,TUNDRA,2.000,2.000,2.000,69.14,147,true
2000,1,11,OZEAN,2.000,2.000,1.990,200.00,125,true
2000,1,12,WÜSTE,1.313,2.000,2.000,95.43,1,true
2000,1,13,WALD,1.313,2.000,2.000,138.45,69,true
2000,1,14,VULKAN,1.313,1.541,2.000,81.10,2,true
2000,1,15,GEBIRGE,1.913,2.000,1.450,200.00,771,true
2000,1,16,OZEAN,2.000,1.878,2.000,180.41,99,true
2000,1,17,WALD,1.368,1.698,0.887,200.00,243,true
2000,1,18,SUMPF,2.000,1.698,0.946,200.00,533,true
2000,1,19,TUNDRA,2.000,1.878,1.336,64.75,38,true
2000,1,20,WÜSTE,2.000,0.690,2.000,26.94,7,true
2000,1,21,WALD,2.000,1.116,1.258,177.38,36,true
2000,1,22,WÜSTE,1.648,1.116,1.258,17.97,9,true
2000,1,23,TUNDRA,0.639,1.905,2.000,88.84,25,true
2000,1,24,TUNDRA,2.000,1.601,1.258,4.67,33,true
2000,1,25,SUMPF,0.661,1.905,2.000,72.74,24,true
2000,1,26,TUNDRA,0.661,1.902,2.000,62.61,53,true
2000,1,27,SUMPF,0.500,1.983,0.565,200.00,892,true
2000,1,28,TUNDRA,0.815,2.000,1.207,96.09,7,true
2000,1,29,VULKAN,0.500,2.000,1.207,14.00,10,true
2000,1,30,TUNDRA,1.051,2.000,2.000,50.65,38,true
2000,1,31,GEBIRGE,1.051,2.000,1.783,112.11,124,true
2000,1,32,OZEAN,0.785,2.000,1.783,128.86,4,true
2000,1,33,GRASLAND,1.051,1.865,1.783,200.00,40,true
2000,1,34,WALD,0.824,1.774,1.783,200.00,162,true
2000,1,35,GRASLAND,0.500,1.628,0.996,200.00,472,true
2000,1,36,OZEAN,0.892,2.000,1.310,200.00,887,true
2000,1,37,OZEAN,0.514,2.000,0.500,200.00,201,true
2000,1,38,TUNDRA,0.695,2.000,0.520,84.43,12,true
2000,1,39,OZEAN,0.500,1.288,0.996,193.15,473,true
2000,1,40,WÜSTE,0.638,2.000,1.106,0.80,16,true
2000,1,41,SUMPF,0.500,1.288,0.996,200.00,364,true
2000,1,42,WALD,0.826,1.753,1.199,81.39,23,true
2000,1,43,WÜSTE,0.757,2.000,0.851,178.20,322,true
2000,1,44,WALD,0.563,1.999,1.117,200.00,156,true
2000,1,45,VULKAN,0.563,2.000,0.728,57.00,5,true
2000,1,46,OZEAN,0.500,1.979,1.117,200.00,350,true
2000,1,47,TUNDRA,0.545,2.000,1.190,134.39,932,true
2000,1,48,TUNDRA,0.563,1.096,1.431,92.77,1,true
2000,1,49,GEBIRGE,0.563,1.406,1.583,85.08,5,true
2000,2,0,TUNDRA,0.727,1.230,0.500,32.24,10,true
2000,2,1,GRASLAND,0.727,1.235,0.500,119.46,19,true
2000,2,2,SUMPF,0.727,1.235,0.500,200.00,295,true
2000,2,3,OZEAN,0.954,1.235,0.500,100.00,0,true
2000,2,4,SUMPF,0.782,1.235,0.500,200.00,370,true
2000,2,5,SUMPF,2.000,1.421,1.935,200.00,139,true
2000,2,6,WÜSTE,2.000,2.000,1.925,54.00,25,true
2000,2,7,GRASLAND,1.638,1.582,0.897,200.00,569,true
2000,2,8,GEBIRGE,1.952,1.795,2.000,157.81,135,true
2000,2,9,WÜSTE,1.952,1.660,1.577,9.80,21,true
2000,2,10,WÜSTE,1.200,1.795,2.000,48.78,95,true
2000,2,11,WÜSTE,2.000,2.000,1.990,3.31,53,true
2000,2,12,OZEAN,2.000,1.376,1.146,200.00,479,true
2000,2,13,WALD,1.313,2.000,2.000,200.00,15,true
2000,2,14,OZEAN,2.000,1.407,1.598,200.00,469,true
2000,2,15,WÜSTE,2.000,1.878,2.000,92.38,3,true
2000,2,16,GEBIRGE,1.595,1.698,0.991,193.00,213,true
2000,2,17,TUNDRA,2.000,1.878,2.000,88.86,17,true
2000,2,18,WÜSTE,2.000,1.878,2.000,39.88,40,true
2000,2,19,GRASLAND,2.000,1.113,0.700,200.00,231,true
2000,2,20,SUMPF,2.000,2.000,1.280,200.00,578,true
2000,2,21,WALD,2.000,1.116,1.526,66.02,41,true
2000,2,22,VULKAN,2.000,0.740,1.258,5.48,8,true
2000,2,23,WÜSTE,0.661,1.905,2.000,74.09,4,true
2000,2,24,WALD,0.661,1.905,2.000,167.31,28,true
2000,2,25,WALD,0.661,2.000,2.000,200.00,57,true
2000,2,26,OZEAN,0.661,1.905,2.000,110.26,10,true
2000,2,27,WÜSTE,0.614,2.000,1.111,75.20,4,true
2000,2,28,SUMPF,0.614,2.000,0.879,123.44,41,true
2000,2,29,OZEAN,0.614,2.000,1.207,153.88,120,true
2000,2,30,TUNDRA,0.614,2.000,0.862,68.97,32,true
2000,2,31,SUMPF,0.904,2.000,1.312,200.00,289,true
2000,2,32,WÜSTE,1.051,1.865,1.783,68.91,5,true
2000,2,33,VULKAN,0.762,2.000,1.783,157.00,383,true
2000,2,34,GEBIRGE,0.930,2.000,1.783,200.00,156,true
2000,2,35,OZEAN,0.824,2.000,1.783,200.00,106,true
2000,2,36,SUMPF,0.500,1.726,0.996,200.00,451,true
2000,2,37,SUMPF,0.500,1.628,1.627,200.00,609,true
2000,2,38,WALD,0.695,2.000,0.500,168.07,119,true
2000,2,39,GRASLAND,0.695,2.000,0.500,200.00,94,true
2000,2,40,TUNDRA,0.695,2.000,0.500,92.13,6,true
2000,2,41,OZEAN,1.281,2.000,1.809,200.00,528,true
2000,2,42,GRASLAND,1.210,2.000,0.851,200.00,527,true
2000,2,43,SUMPF,0.915,1.753,1.516,58.17,16,true
2000,2,45,TUNDRA,0.617,1.477,0.936,137.51,129,true
2000,2,46,TUNDRA,0.587,1.477,1.242,0.37,24,true
2000,2,47,TUNDRA,0.724,1.406,1.117,65.14,7,true
2000,2,48,SUMPF,0.641,1.477,1.218,61.57,55,true
2000,2,49,WÜSTE,2.000,2.000,0.597,51.10,699,true
2000,3,0,TUNDRA,0.727,1.235,0.500,88.93,2,true
2000,3,1,TUNDRA,0.722,1.235,0.500,100.00,0,true
2000,3,2,VULKAN,0.727,1.235,0.500,3.23,164,true
2000,3,3,WALD,1.496,1.903,1.339,48.34,53,true
2000,3,4,TUNDRA,2.000,1.578,1.935,197.16,142,true
2000,3,5,OZEAN,0.782,1.362,0.500,200.00,344,true
2000,3,6,SUMPF,2.000,1.214,1.935,85.37,74,true
2000,3,7,VULKAN,2.000,1.214,1.935,38.86,6,true
2000,3,8,OZEAN,2.000,2.000,1.577,200.00,452,true
2000,3,9,SUMPF,2.000,2.000,1.577,200.00,291,true
2000,3,10,VULKAN,2.000,1.955,1.577,13.10,11,true
2000,3,11,TUNDRA,2.000,2.000,1.577,178.82,486,true
2000,3,12,GEBIRGE,0.912,2.000,2.000,183.67,61,true
2000,3,13,WÜSTE,1.305,2.000,2.000,26.42,16,true
2000,3,14,VULKAN,1.305,2.000,2.000,12.40,33,true
2000,3,15,GEBIRGE,1.777,2.000,1.450,200.00,711,true
2000,3,16,GRASLAND,1.193,1.698,0.887,200.00,228,true
2000,3,17,WÜSTE,2.000,2.000,1.696,121.18,961,true
2000,3,18,OZEAN,2.000,2.000,0.581,200.00,479,true
2000,3,19,WÜSTE,1.256,1.289,0.684,23.88,9,true
2000,3,20,WÜSTE,2.000,2.000,1.450,110.76,405,true
2000,3,21,VULKAN,1.846,1.502,0.700,80.94,2,true
2000,3,22,VULKAN,1.555,1.116,2.000,89.55,1,true
2000,3,23,WALD,0.500,2.000,2.000,200.00,166,true
2000,3,24,WÜSTE,0.661,1.905,2.000,41.70,9,true
2000,3,25,VULKAN,0.661,1.905,1.229,82.47,2,true
2000,3,26,TUNDRA,0.661,2.000,1.532,66.60,96,true
2000,3,27,WÜSTE,0.661,1.368,2.000,67.29,4,true
2000,3,28,WÜSTE,0.500,2.000,0.977,22.40,13,true
2000,3,29,OZEAN,0.792,1.909,0.562,200.00,1053,true
2000,3,30,WÜSTE,0.734,2.000,0.788,31.80,11,true
2000,3,31,OZEAN,0.500,2.000,0.873,200.00,547,true
2000,3,32,TUNDRA,0.847,2.000,1.207,90.74,22,true
2000,3,33,WALD,0.627,2.000,1.283,200.00,751,true
2000,3,34,GRASLAND,0.500,1.775,1.427,200.00,240,true
2000,3,35,TUNDRA,0.824,2.000,1.966,96.61,41,true
2000,3,36,SUMPF,0.824,2.000,1.722,200.00,15,true
2000,3,37,VULKAN,0.695,2.000,0.500,91.40,1,true
2000,3,38,WALD,0.500,1.628,1.106,200.00,128,true
2000,3,39,VULKAN,0.695,1.832,0.614,2.18,11,true
2000,3,40,OZEAN,0.580,1.288,1.174,112.21,427,true
2000,3,41,WÜSTE,0.828,1.604,1.439,77.81,3,true
2000,3,42,WALD,0.757,2.000,1.422,200.00,147,true
2000,3,43,VULKAN,0.757,2.000,0.851,131.20,319,true
2000,3,44,GRASLAND,0.500,1.145,0.784,200.00,801,true
2000,3,45,WÜSTE,0.500,1.979,1.117,193.74,271,true
2000,3,46,GRASLAND,0.525,1.477,1.242,200.00,132,true
2000,3,47,SUMPF,0.586,1.905,1.218,114.26,2,true
2000,3,48,GEBIRGE,0.525,1.718,1.242,87.61,18,true
2000,3,49,WÜSTE,0.641,1.477,1.218,6.29,12,true
2000,4,0,WÜSTE,0.500,2.000,1.638,72.00,5,true
2000,4,2,VULKAN,2.000,1.903,1.842,40.80,106,true
2000,4,3,VULKAN,0.954,1.235,0.500,182.72,140,true
