Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,SUMPF,0.639,2.000,0.500,200.00,595,true
2000,0,1,GRASLAND,0.639,1.538,0.699,200.00,71,true
2000,0,2,SUMPF,0.639,1.538,0.500,184.16,122,true
2000,0,3,GRASLAND,0.639,1.886,0.500,200.00,381,true
2000,0,4,WÜSTE,1.591,2.000,0.949,59.85,10,true
2000,0,5,VULKAN,1.961,2.000,0.887,66.20,4,true
2000,0,6,WÜSTE,0.500,1.964,0.602,87.39,2,true
2000,0,7,SUMPF,0.500,2.000,0.500,89.95,72,true
2000,0,8,SUMPF,1.444,1.236,0.500,200.00,1209,true
2000,0,9,GRASLAND,0.500,2.000,0.500,200.00,199,true
2000,0,10,VULKAN,2.000,2.000,0.500,76.98,10,true
2000,0,11,TUNDRA,1.782,2.000,0.500,98.82,1,true
2000,0,12,WÜSTE,1.519,1.662,2.000,182.28,654,true
2000,0,13,TUNDRA,2.000,2.000,0.990,189.09,164,true
2000,0,14,WÜSTE,2.000,2.000,1.297,64.61,16,true
2000,0,15,SUMPF,2.000,2.000,1.124,170.32,73,true
2000,0,16,TUNDRA,2.000,2.000,1.124,91.51,19,true
2000,0,17,OZEAN,2.000,2.000,1.124,200.00,127,true
2000,0,18,OZEAN,2.000,2.000,1.124,200.00,104,true
2000,0,19,VULKAN,2.000,1.504,0.896,42.85,6,true
2000,0,20,VULKAN,0.764,1.774,1.086,64.01,4,true
2000,0,21,WALD,0.632,1.732,2.000,200.00,219,true
2000,0,22,TUNDRA,1.296,2.000,1.160,86.77,23,true
2000,0,23,TUNDRA,1.296,2.000,1.563,97.23,13,true
2000,0,24,SUMPF,1.296,2.000,1.160,108.81,1,true
2000,0,25,VULKAN,1.296,2.000,0.770,74.20,3,true
2000,0,26,TUNDRA,0.860,2.000,0.914,58.61,46,true
2000,0,27,OZEAN,1.296,2.000,1.053,200.00,266,true
2000,0,28,WALD,1.840,1.456,2.000,200.00,143,true
2000,0,29,WALD,1.840,1.456,2.000,142.58,111,true
2000,0,30,GEBIRGE,1.840,2.000,2.000,158.68,116,true
2000,0,31,WÜSTE,1.840,2.000,2.000,95.01,2,true
2000,0,32,WALD,1.782,1.456,2.000,200.00,316,true
2000,0,33,WÜSTE,1.782,2.000,2.000,45.30,20,true
2000,0,34,OZEAN,1.622,1.456,1.422,200.00,303,true
2000,0,35,WÜSTE,1.010,1.804,1.943,73.42,4,true
2000,0,36,WALD,1.428,1.804,1.943,200.00,61,true
2000,0,37,WALD,1.420,1.357,1.366,200.00,563,true
2000,0,38,GEBIRGE,1.306,1.804,1.943,57.96,5,true
2000,0,39,WÜSTE,1.306,2.000,1.982,49.42,11,true
2000,0,40,OZEAN,1.088,2.000,1.372,200.00,46,true
2000,0,41,SUMPF,1.088,2.000,1.372,200.00,79,true
2000,0,42,GEBIRGE,2.000,1.860,1.380,200.00,539,true
2000,0,43,GRASLAND,0.928,1.919,0.500,200.00,992,true
2000,0,44,GEBIRGE,1.141,1.662,1.000,71.83,402,true
2000,0,45,GRASLAND,1.279,2.000,1.561,200.00,90,true
2000,0,46,OZEAN,1.302,2.000,1.561,176.69,31,true
2000,0,47,OZEAN,1.302,2.000,1.561,200.00,27,true
2000,0,48,GRASLAND,1.938,1.930,2.000,200.00,1136,true
2000,0,49,WÜSTE,1.771,2.000,0.808,88.07,1163,true
2000,1,0,WÜSTE,0.639,1.538,0.578,8.69,12,true
2000,1,1,WALD,0.639,1.538,0.500,200.00,219,true
2000,1,2,OZEAN,0.639,2.000,0.500,200.00,356,true
2000,1,3,GRASLAND,0.608,2.000,0.500,200.00,151,true
2000,1,4,TUNDRA,0.768,2.000,0.500,43.15,48,true
2000,1,5,OZEAN,0.639,1.886,0.500,200.00,287,true
2000,1,6,VULKAN,0.531,2.000,0.500,74.20,3,true
2000,1,7,GRASLAND,0.500,1.638,0.500,200.00,251,true
2000,1,8,SUMPF,0.500,2.000,0.500,200.00,125,true
2000,1,9,GEBIRGE,0.500,2.000,0.500,70.46,16,true
2000,1,10,TUNDRA,2.000,1.876,0.958,181.29,162,true
2000,1,11,OZEAN,2.000,2.000,0.708,200.00,297,true
2000,1,12,WÜSTE,1.697,1.719,0.516,87.93,498,true
2000,1,13,WALD,2.000,2.000,0.990,200.00,163,true
2000,1,14,VULKAN,2.000,2.000,0.990,35.85,377,true
2000,1,15,GEBIRGE,2.000,2.000,0.990,200.00,178,true
2000,1,16,OZEAN,2.000,2.000,0.990,200.00,302,true
2000,1,17,WALD,2.000,2.000,1.124,200.00,30,true
2000,1,18,SUMPF,2.000,1.773,0.990,200.00,255,true
2000,1,19,TUNDRA,0.670,2.000,2.000,31.60,302,true
2000,1,20,WÜSTE,0.500,1.397,2.000,35.38,8,true
2000,1,21,WALD,0.764,1.774,0.955,138.06,9,true
2000,1,22,WÜSTE,0.632,1.732,2.000,130.03,178,true
2000,1,23,TUNDRA,1.562,2.000,1.241,80.79,43,true
2000,1,24,TUNDRA,1.296,2.000,1.208,68.67,60,true
2000,1,25,SUMPF,1.296,2.000,1.160,126.43,57,true
2000,1,26,TUNDRA,1.296,2.000,1.053,159.37,301,true
2000,1,27,SUMPF,1.840,0.988,2.000,68.24,106,true
2000,1,28,TUNDRA,1.723,0.988,2.000,14.89,11,true
2000,1,29,VULKAN,1.609,1.456,2.000,100.00,0,true
2000,1,30,TUNDRA,0.670,2.000,2.000,89.87,348,true
2000,1,31,GEBIRGE,1.782,1.456,2.000,16.00,230,true
2000,1,32,OZEAN,1.782,1.845,2.000,160.54,126,true
2000,1,33,GRASLAND,1.782,1.845,2.000,200.00,207,true
2000,1,34,WALD,1.428,1.804,2.000,200.00,194,true
2000,1,35,GRASLAND,1.428,1.804,2.000,200.00,93,true
2000,1,36,OZEAN,2.000,1.357,1.135,200.00,691,true
2000,1,37,OZEAN,1.306,1.804,1.943,185.79,43,true
2000,1,38,TUNDRA,0.991,2.000,1.372,55.71,115,true
2000,1,40,WÜSTE,1.088,2.000,1.460,33.95,12,true
2000,1,41,SUMPF,1.128,1.690,0.875,200.00,1314,true
2000,1,42,WALD,2.000,1.753,2.000,200.00,370,true
2000,1,43,WÜSTE,1.279,2.000,2.000,6.32,20,true
2000,1,44,WALD,1.279,1.973,1.769,200.00,48,true
2000,1,45,VULKAN,1.279,2.000,1.327,57.00,5,true
2000,1,46,OZEAN,1.279,1.753,1.561,200.00,199,true
2000,1,47,TUNDRA,1.302,2.000,1.561,99.36,3,true
2000,1,48,TUNDRA,1.291,2.000,1.561,96.77,15,true
2000,1,49,GEBIRGE,0.651,1.821,0.844,48.71,127,true
2000,2,0,TUNDRA,0.639,1.538,0.522,22.46,17,true
2000,2,1,GRASLAND,0.639,1.538,0.500,194.24,45,true
2000,2,2,SUMPF,0.639,2.000,0.579,200.00,345,true
2000,2,3,OZEAN,0.608,2.000,0.500,150.00,93,true
2000,2,4,SUMPF,0.608,2.000,0.500,200.00,65,true
2000,2,5,SUMPF,0.608,2.000,0.500,165.77,62,true
2000,2,6,WÜSTE,0.608,2.000,0.500,87.60,2,true
2000,2,7,GRASLAND,0.500,1.638,0.500,200.00,197,true
2000,2,8,GEBIRGE,0.500,2.000,0.500,200.00,252,true
2000,2,9,WÜSTE,0.500,2.000,0.500,50.40,8,true
2000,2,10,WÜSTE,0.500,2.000,0.630,19.40,13,true
2000,2,11,WÜSTE,0.858,1.955,0.500,15.17,987,true
2000,2,12,OZEAN,0.630,1.951,0.640,200.00,598,true
2000,2,13,WALD,1.699,1.336,1.121,200.00,32,true
2000,2,14,OZEAN,2.000,1.145,0.846,200.00,301,true
2000,2,15,WÜSTE,1.699,2.000,1.430,25.80,23,true
2000,2,16,GEBIRGE,2.000,2.000,0.990,200.00,287,true
2000,2,17,TUNDRA,1.601,2.000,1.121,131.29,251,true
2000,2,18,WÜSTE,0.500,2.000,2.000,7.80,421,true
2000,2,19,GRASLAND,0.691,1.397,2.000,182.70,101,true
2000,2,20,SUMPF,0.823,1.727,0.955,79.26,30,true
2000,2,21,WALD,0.823,1.732,1.427,200.00,133,true
2000,2,22,VULKAN,0.764,1.774,0.955,55.01,5,true
2000,2,23,WÜSTE,1.673,2.000,1.635,80.04,6,true
2000,2,24,WALD,1.296,2.000,1.241,200.00,120,true
2000,2,25,WALD,1.428,2.000,0.853,200.00,434,true
2000,2,26,OZEAN,2.000,1.456,2.000,200.00,249,true
2000,2,27,WÜSTE,1.840,2.000,2.000,30.20,28,true
2000,2,28,SUMPF,1.840,1.456,2.000,116.41,129,true
2000,2,29,OZEAN,1.840,1.518,1.396,156.36,42,true
2000,2,30,TUNDRA,0.727,2.000,1.386,17.01,223,true
2000,2,31,SUMPF,1.420,2.000,2.000,200.00,570,true
2000,2,32,WÜSTE,1.279,1.845,1.306,58.10,7,true
2000,2,33,VULKAN,1.927,1.845,2.000,23.85,9,true
2000,2,34,GEBIRGE,1.674,1.777,2.000,200.00,510,true
2000,2,35,OZEAN,2.000,2.000,1.108,200.00,1093,true
