Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,TUNDRA,2.000,2.000,2.000,200.00,304,true
2000,0,1,GRASLAND,1.976,2.000,2.000,200.00,284,true
2000,0,2,WALD,1.382,2.000,1.330,200.00,152,true
2000,0,3,WALD,1.382,2.000,1.141,200.00,118,true
2000,0,4,WALD,1.703,2.000,1.005,150.00,101,true
2000,0,5,WALD,1.943,2.000,1.005,200.00,97,true
2000,0,6,GEBIRGE,2.000,2.000,1.005,150.87,78,true
2000,0,7,SUMPF,2.000,2.000,1.005,200.00,50,true
2000,0,8,WALD,2.000,1.625,1.690,200.00,356,true
2000,0,9,TUNDRA,1.780,2.000,1.067,181.65,216,true
2000,0,10,WALD,1.780,2.000,0.794,150.00,30,true
2000,0,11,GRASLAND,1.780,2.000,0.794,200.00,122,true
2000,0,12,SUMPF,1.780,2.000,0.794,200.00,58,true
2000,0,13,WÜSTE,1.780,2.000,0.849,56.23,12,true
2000,0,14,GRASLAND,0.835,2.000,0.947,200.00,285,true
2000,0,15,WÜSTE,1.061,2.000,0.947,4.26,186,true
2000,0,16,WALD,0.968,1.231,0.852,108.55,24,true
2000,0,17,GRASLAND,0.968,1.231,0.852,200.00,27,true
2000,0,18,WALD,1.069,1.951,1.219,200.00,689,true
2000,0,19,OZEAN,1.069,1.951,1.219,200.00,696,true
2000,0,20,WALD,0.676,1.206,0.500,200.00,284,true
2000,0,21,TUNDRA,0.699,2.000,0.915,21.19,87,true
2000,0,22,TUNDRA,0.897,2.000,1.328,2.71,233,true
2000,0,23,SUMPF,0.699,2.000,1.356,200.00,152,true
2000,0,24,GRASLAND,0.897,2.000,1.328,200.00,384,true
2000,0,25,WALD,0.699,2.000,1.792,132.62,92,true
2000,0,26,VULKAN,0.699,2.000,1.792,14.00,10,true
2000,0,27,SUMPF,0.897,2.000,1.328,200.00,147,true
2000,0,28,VULKAN,1.075,2.000,1.328,74.20,3,true
2000,0,29,WÜSTE,2.000,1.736,1.538,60.21,11,true
2000,0,30,OZEAN,1.823,1.736,1.538,200.00,127,true
2000,0,31,GEBIRGE,2.000,1.736,1.211,194.01,167,true
2000,0,32,OZEAN,2.000,1.736,1.211,108.86,72,true
2000,0,33,SUMPF,1.502,2.000,1.479,200.00,394,true
2000,0,34,TUNDRA,2.000,2.000,2.000,167.81,905,true
2000,0,35,SUMPF,2.000,2.000,1.780,200.00,562,true
2000,0,36,TUNDRA,1.126,1.981,1.188,78.97,31,true
2000,0,37,SUMPF,1.126,1.981,1.188,133.49,99,true
2000,0,38,WÜSTE,1.126,1.981,1.188,88.47,2,true
2000,0,39,WÜSTE,1.242,2.000,2.000,27.92,15,true
2000,0,40,GRASLAND,2.000,2.000,2.000,162.00,43,true
2000,0,41,GRASLAND,2.000,2.000,2.000,179.60,8,true
2000,0,42,WÜSTE,2.000,1.503,2.000,75.11,5,true
2000,0,43,WÜSTE,1.261,1.161,1.301,119.58,382,true
2000,0,44,VULKAN,2.000,2.000,1.740,139.28,229,true
2000,0,45,WÜSTE,1.711,1.424,1.149,85.46,2,true
2000,0,46,VULKAN,1.317,2.000,2.000,39.80,7,true
2000,0,47,TUNDRA,1.327,2.000,2.000,99.68,9,true
2000,0,48,VULKAN,1.317,1.975,2.000,4.92,11,true
2000,0,49,GEBIRGE,1.382,2.000,2.000,92.91,107,true
2000,1,0,TUNDRA,2.000,1.549,2.000,42.12,19,true
2000,1,1,WÜSTE,2.000,1.549,2.000,58.00,9,true
2000,1,2,TUNDRA,1.976,2.000,2.000,70.25,169,true
2000,1,3,TUNDRA,1.382,2.000,1.330,74.52,66,true
2000,1,4,SUMPF,1.905,2.000,2.000,200.00,533,true
2000,1,5,VULKAN,1.703,2.000,1.005,22.60,9,true
2000,1,6,GRASLAND,2.000,2.000,1.690,200.00,370,true
2000,1,7,GRASLAND,1.266,2.000,0.825,200.00,1220,true
2000,1,8,TUNDRA,2.000,2.000,1.690,58.59,323,true
2000,1,9,TUNDRA,1.780,2.000,1.690,90.66,180,true
2000,1,10,WALD,1.780,2.000,1.067,200.00,174,true
2000,1,11,VULKAN,1.780,1.504,0.723,100.00,0,true
2000,1,12,GEBIRGE,1.780,2.000,0.995,187.44,32,true
2000,1,13,SUMPF,1.814,2.000,0.794,200.00,25,true
2000,1,14,WALD,0.811,1.635,0.749,200.00,1107,true
2000,1,15,SUMPF,1.069,1.639,0.998,200.00,571,true
2000,1,16,GRASLAND,1.013,1.231,0.852,200.00,18,true
2000,1,17,VULKAN,0.968,1.231,0.979,39.11,6,true
2000,1,18,OZEAN,0.676,2.000,0.596,200.00,310,true
2000,1,19,SUMPF,1.753,1.590,0.665,200.00,869,true
2000,1,20,OZEAN,0.526,2.000,1.831,200.00,445,true
2000,1,21,TUNDRA,1.069,2.000,1.328,136.20,589,true
2000,1,22,TUNDRA,1.789,2.000,1.478,95.56,25,true
2000,1,23,SUMPF,0.699,2.000,1.328,200.00,254,true
2000,1,24,WÜSTE,0.699,2.000,1.730,19.81,13,true
2000,1,25,WALD,0.897,2.000,1.328,200.00,228,true
2000,1,26,VULKAN,0.699,2.000,1.792,100.00,0,true
2000,1,27,OZEAN,0.897,2.000,1.328,149.18,100,true
2000,1,28,GEBIRGE,0.897,2.000,1.328,200.00,111,true
2000,1,29,WÜSTE,2.000,1.844,1.538,41.26,20,true
2000,1,30,OZEAN,1.823,1.736,1.538,200.00,238,true
2000,1,31,GRASLAND,1.502,1.590,1.538,200.00,476,true
2000,1,32,GRASLAND,2.000,2.000,1.439,100.00,0,true
2000,1,33,WALD,1.502,2.000,2.000,200.00,439,true
2000,1,34,OZEAN,1.126,1.769,1.188,200.00,251,true
2000,1,35,SUMPF,1.126,1.769,1.188,200.00,162,true
2000,1,36,TUNDRA,1.126,1.981,1.440,68.21,73,true
2000,1,37,WÜSTE,1.126,1.981,1.188,76.94,4,true
2000,1,38,WALD,2.000,2.000,0.760,200.00,977,true
2000,1,39,OZEAN,2.000,2.000,2.000,200.00,106,true
2000,1,40,VULKAN,2.000,2.000,2.000,24.91,10,true
2000,1,41,VULKAN,2.000,2.000,2.000,77.47,3,true
2000,1,42,GRASLAND,2.000,1.657,1.666,200.00,179,true
2000,1,43,GRASLAND,1.711,1.657,1.171,200.00,129,true
2000,1,44,GRASLAND,1.711,1.657,1.149,113.37,12,true
2000,1,45,SUMPF,2.000,2.000,2.000,200.00,201,true
2000,1,46,OZEAN,1.827,1.533,1.535,200.00,142,true
2000,1,47,VULKAN,1.317,2.000,1.465,12.26,27,true
2000,1,48,WÜSTE,1.382,2.000,2.000,39.45,13,true
2000,1,49,WÜSTE,1.976,2.000,2.000,56.85,221,true
2000,2,0,OZEAN,2.000,1.549,2.000,164.35,79,true
2000,2,1,WÜSTE,2.000,1.549,2.000,62.66,8,true
2000,2,2,SUMPF,1.829,2.000,0.916,200.00,99,true
2000,2,3,TUNDRA,2.000,2.000,2.000,92.97,307,true
2000,2,4,WALD,2.000,2.000,1.690,200.00,277,true
2000,2,5,OZEAN,1.703,2.000,1.005,160.28,74,true
2000,2,6,WALD,2.000,2.000,1.690,200.00,258,true
2000,2,7,OZEAN,1.255,2.000,0.635,200.00,1529,true
2000,2,8,GRASLAND,1.266,2.000,0.825,200.00,1326,true
2000,2,9,SUMPF,1.247,1.557,0.500,200.00,1760,true
2000,2,10,GEBIRGE,0.735,2.000,1.093,128.42,44,true
2000,2,11,WÜSTE,1.780,1.989,0.995,43.38,16,true
2000,2,12,TUNDRA,0.735,2.000,0.947,38.08,75,true
2000,2,13,GRASLAND,2.000,2.000,2.000,200.00,490,true
2000,2,14,WALD,0.925,2.000,0.947,200.00,158,true
2000,2,15,WÜSTE,1.477,2.000,2.000,15.32,312,true
2000,2,16,SUMPF,1.077,2.000,0.914,200.00,563,true
2000,2,17,GRASLAND,0.968,2.000,1.174,200.00,289,true
2000,2,18,WALD,1.366,1.233,0.500,200.00,1929,true
2000,2,19,VULKAN,1.036,1.868,0.993,47.03,6,true
2000,2,20,SUMPF,1.186,2.000,1.356,200.00,108,true
2000,2,21,SUMPF,1.789,2.000,1.478,200.00,94,true
2000,2,22,OZEAN,1.789,2.000,2.000,200.00,150,true
2000,2,23,VULKAN,1.789,1.484,2.000,23.47,8,true
2000,2,24,GRASLAND,1.789,1.484,2.000,150.00,97,true
2000,2,25,GRASLAND,0.897,2.000,1.328,200.00,225,true
2000,2,26,VULKAN,0.897,1.792,1.328,19.31,9,true
2000,2,27,OZEAN,1.585,1.794,1.772,200.00,381,true
2000,2,28,GRASLAND,0.897,2.000,1.082,200.00,56,true
2000,2,29,GEBIRGE,2.000,1.627,1.462,200.00,827,true
2000,2,30,OZEAN,1.823,1.736,1.538,200.00,309,true
2000,2,31,WÜSTE,2.000,1.952,1.924,38.56,29,true
2000,2,32,OZEAN,2.000,1.952,1.538,200.00,139,true
2000,2,33,WÜSTE,1.886,2.000,2.000,197.70,690,true
2000,2,34,VULKAN,0.802,1.769,1.188,36.94,7,true
2000,2,35,WALD,0.986,1.769,1.188,200.00,78,true
2000,2,36,GEBIRGE,1.275,1.769,1.188,177.52,63,true
2000,2,37,TUNDRA,2.000,2.000,2.000,200.00,600,true
2000,2,38,TUNDRA,1.951,2.000,2.000,58.02,73,true
2000,2,39,GRASLAND,2.000,2.000,2.000,200.00,86,true
2000,2,40,TUNDRA,2.000,2.000,1.633,99.79,84,true
2000,2,41,GEBIRGE,2.000,1.657,2.000,200.00,253,true
2000,2,42,TUNDRA,2.000,2.000,2.000,52.21,17,true
2000,2,43,WÜSTE,2.000,2.000,2.000,89.07,6,true
