Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
800,0,0,SUMPF,1.444,1.359,2.000,94.09,11,true
800,0,1,GRASLAND,0.675,1.213,1.021,200.00,778,true
800,0,2,SUMPF,0.500,1.426,1.021,200.00,580,true
800,0,3,GRASLAND,1.436,1.359,2.000,168.23,28,true
800,0,4,WÜSTE,1.436,1.876,2.000,90.28,2,true
800,0,5,VULKAN,1.042,2.000,1.243,53.80,175,true
800,0,6,WÜSTE,0.720,2.000,1.127,85.20,278,true
800,0,7,SUMPF,1.042,2.000,1.127,200.00,313,true
800,0,8,SUMPF,1.042,2.000,1.127,200.00,268,true
800,0,9,GRASLAND,1.042,2.000,1.076,200.00,164,true
800,0,10,VULKAN,1.351,1.325,1.888,80.16,2,true
800,0,11,TUNDRA,1.456,1.325,1.079,49.37,9,true
800,0,12,WÜSTE,2.000,1.325,0.961,37.53,9,true
800,0,13,TUNDRA,1.794,1.325,0.961,94.31,1,true
800,0,14,WÜSTE,0.500,1.080,0.500,53.70,5,true
800,0,15,SUMPF,0.500,1.698,0.500,109.41,66,true
800,0,16,TUNDRA,0.500,2.000,0.500,51.24,37,true
800,0,17,OZEAN,0.578,2.000,0.644,200.00,80,true
800,0,18,OZEAN,0.500,2.000,0.570,200.00,205,true
800,0,19,VULKAN,0.739,2.000,0.644,31.20,8,true
800,0,20,VULKAN,0.500,2.000,0.555,14.00,10,true
800,0,21,WALD,0.524,2.000,0.769,200.00,126,true
800,0,22,TUNDRA,0.524,2.000,0.769,78.49,20,true
800,0,23,TUNDRA,0.500,2.000,0.575,50.86,39,true
800,0,24,SUMPF,0.670,1.564,1.198,95.02,21,true
800,0,25,VULKAN,0.670,2.000,1.198,57.00,5,true
800,0,26,TUNDRA,0.500,1.682,1.932,122.97,203,true
800,0,27,OZEAN,0.500,1.265,1.932,90.86,33,true
800,0,28,WALD,0.500,2.000,1.932,185.58,46,true
800,0,29,WALD,0.500,1.682,1.932,200.00,157,true
800,0,30,GEBIRGE,1.290,2.000,0.678,200.00,216,true
800,0,31,WÜSTE,1.612,1.478,2.000,32.33,10,true
800,0,32,WALD,1.612,1.478,2.000,200.00,80,true
800,0,33,WÜSTE,1.612,1.478,2.000,25.56,11,true
800,0,34,OZEAN,1.612,1.599,1.822,200.00,185,true
800,0,35,WÜSTE,0.741,2.000,1.747,45.16,9,true
800,0,36,WALD,0.741,2.000,1.747,168.14,66,true
800,0,37,WALD,0.741,2.000,1.747,168.14,78,true
800,0,38,GEBIRGE,0.973,2.000,1.309,173.47,160,true
800,0,39,WÜSTE,0.675,1.440,1.013,57.23,571,true
800,0,40,OZEAN,1.473,1.701,1.025,200.00,186,true
800,0,41,SUMPF,1.473,1.701,1.160,159.09,16,true
800,0,42,GEBIRGE,1.473,2.000,1.461,200.00,315,true
800,0,43,GRASLAND,1.862,1.701,1.461,200.00,159,true
800,0,44,GEBIRGE,1.133,1.701,0.964,95.37,135,true
800,0,45,GRASLAND,1.133,1.701,0.964,200.00,127,true
800,0,46,OZEAN,0.630,1.948,0.769,200.00,594,true
800,0,47,OZEAN,1.133,1.586,0.964,118.32,90,true
800,0,48,GRASLAND,0.661,2.000,1.066,200.00,581,true
800,0,49,WÜSTE,1.295,1.642,2.000,20.32,120,true
800,1,0,WÜSTE,1.444,1.359,2.000,50.75,6,true
800,1,1,WALD,2.000,1.359,2.000,173.02,78,true
800,1,2,OZEAN,2.000,1.359,2.000,200.00,144,true
800,1,3,GRASLAND,0.501,1.127,1.121,200.00,312,true
800,1,4,TUNDRA,1.042,2.000,1.344,90.78,30,true
800,1,5,OZEAN,1.186,2.000,1.243,85.98,16,true
800,1,6,VULKAN,1.575,2.000,0.840,100.00,0,true
800,1,7,GRASLAND,1.042,2.000,1.127,200.00,305,true
800,1,8,SUMPF,1.042,2.000,1.310,200.00,12,true
800,1,9,GEBIRGE,1.042,2.000,0.854,200.00,182,true
800,1,10,TUNDRA,1.351,1.325,2.000,75.05,4,true
800,1,11,OZEAN,0.989,1.186,1.099,64.65,37,true
800,1,12,WÜSTE,2.000,1.325,0.961,65.30,5,true
800,1,13,WALD,1.794,1.325,0.961,90.47,71,true
800,1,14,VULKAN,1.794,1.325,0.961,60.32,4,true
800,1,15,GEBIRGE,0.783,2.000,0.864,200.00,565,true
800,1,16,OZEAN,0.578,2.000,0.500,200.00,71,true
800,1,17,WALD,0.578,2.000,0.644,185.79,77,true
800,1,18,SUMPF,0.578,2.000,0.644,200.00,74,true
800,1,19,TUNDRA,0.578,2.000,0.721,83.13,15,true
800,1,20,WÜSTE,0.524,2.000,0.769,7.00,15,true
800,1,21,WALD,0.524,2.000,0.769,200.00,83,true
800,1,22,WÜSTE,0.524,2.000,0.769,19.40,13,true
800,1,23,TUNDRA,0.500,1.564,1.626,83.61,5,true
800,1,24,TUNDRA,0.500,2.000,1.626,100.00,0,true
800,1,25,SUMPF,0.500,1.564,1.198,93.32,32,true
800,1,26,TUNDRA,0.500,1.474,1.198,95.65,1,true
800,1,27,SUMPF,0.500,2.000,1.745,150.00,42,true
800,1,28,TUNDRA,0.500,1.682,1.932,1.05,45,true
800,1,29,VULKAN,0.500,2.000,1.932,31.20,8,true
800,1,30,TUNDRA,1.612,2.000,1.497,95.63,21,true
800,1,31,GEBIRGE,1.612,2.000,1.497,113.05,69,true
800,1,32,OZEAN,1.612,1.248,1.418,200.00,198,true
800,1,33,GRASLAND,1.735,1.827,1.418,200.00,72,true
800,1,34,WALD,1.244,1.009,1.418,200.00,199,true
800,1,35,GRASLAND,0.741,2.000,1.993,200.00,46,true
800,1,36,OZEAN,1.218,1.269,0.886,200.00,713,true
800,1,37,OZEAN,1.430,2.000,1.733,200.00,316,true
800,1,38,TUNDRA,0.741,2.000,1.747,99.84,1,true
