Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,0,0,SUMPF,0.682,2.0,1.106,150.0,70,1,same,ca_detail_1762512270723
2000,0,1,GRASLAND,0.72,1.633,1.38,200.0,477,1,same,ca_detail_1762512270723
2000,0,2,SUMPF,0.5,1.269,1.876,200.0,263,1,same,ca_detail_1762512270723
2000,0,3,GRASLAND,0.537,1.458,2.0,93.15,87,1,same,ca_detail_1762512270723
2000,0,4,WÜSTE,0.676,1.454,2.0,92.11,1,1,same,ca_detail_1762512270723
2000,0,5,VULKAN,0.537,1.458,1.586,44.02,6,1,same,ca_detail_1762512270723
2000,0,6,WÜSTE,0.562,2.0,0.544,38.0,10,1,same,ca_detail_1762512270723
2000,0,7,SUMPF,0.562,2.0,0.544,178.46,42,1,same,ca_detail_1762512270723
2000,0,8,SUMPF,0.835,2.0,1.233,200.0,1920,1,same,ca_detail_1762512270723
2000,0,9,GRASLAND,1.245,2.0,0.735,200.0,224,1,same,ca_detail_1762512270723
2000,0,10,VULKAN,0.582,2.0,2.0,14.0,10,1,same,ca_detail_1762512270723
2000,0,11,TUNDRA,0.654,2.0,2.0,59.17,24,1,same,ca_detail_1762512270723
2000,0,12,WÜSTE,0.5,2.0,1.216,38.0,10,1,same,ca_detail_1762512270723
2000,0,13,TUNDRA,0.5,2.0,2.0,98.54,17,1,same,ca_detail_1762512270723
2000,0,14,WÜSTE,0.5,1.525,1.318,100.0,0,1,same,ca_detail_1762512270723
2000,0,15,SUMPF,0.5,2.0,2.0,108.32,78,1,same,ca_detail_1762512270723
2000,0,16,TUNDRA,0.5,2.0,2.0,94.27,67,1,same,ca_detail_1762512270723
2000,0,17,OZEAN,0.5,2.0,2.0,200.0,185,1,same,ca_detail_1762512270723
2000,0,18,OZEAN,0.5,2.0,2.0,200.0,78,1,same,ca_detail_1762512270723
2000,0,19,VULKAN,0.5,2.0,2.0,31.2,8,1,same,ca_detail_1762512270723
2000,0,20,VULKAN,0.609,1.497,2.0,42.76,6,1,same,ca_detail_1762512270723
2000,0,21,WALD,0.609,1.765,2.0,149.6,82,1,same,ca_detail_1762512270723
2000,0,22,TUNDRA,0.609,1.765,2.0,81.88,11,1,same,ca_detail_1762512270723
2000,0,23,TUNDRA,0.599,1.841,2.0,34.15,59,1,same,ca_detail_1762512270723
2000,0,24,SUMPF,1.877,1.489,1.855,57.09,35,1,same,ca_detail_1762512270723
2000,0,25,VULKAN,1.542,1.526,1.449,62.08,4,1,same,ca_detail_1762512270723
2000,0,26,TUNDRA,1.158,1.526,1.449,11.3,25,1,same,ca_detail_1762512270723
2000,0,27,OZEAN,2.0,1.869,1.827,190.84,14,1,same,ca_detail_1762512270723
2000,0,28,WALD,1.58,1.869,1.827,200.0,102,1,same,ca_detail_1762512270723
2000,0,29,WALD,1.58,1.869,1.827,200.0,6,1,same,ca_detail_1762512270723
2000,0,30,GEBIRGE,1.58,1.869,1.827,94.79,15,1,same,ca_detail_1762512270723
2000,0,31,WÜSTE,1.542,2.0,1.827,154.7,229,1,same,ca_detail_1762512270723
2000,0,32,WALD,1.054,2.0,1.966,200.0,151,1,same,ca_detail_1762512270723
2000,0,33,WÜSTE,1.054,2.0,1.786,35.07,35,1,same,ca_detail_1762512270723
2000,0,34,OZEAN,0.981,2.0,1.541,200.0,425,1,same,ca_detail_1762512270723
2000,0,35,WÜSTE,0.901,2.0,1.13,75.2,4,1,same,ca_detail_1762512270723
2000,0,36,WALD,0.901,2.0,1.13,200.0,48,1,same,ca_detail_1762512270723
2000,0,37,WALD,0.648,2.0,1.13,200.0,68,1,same,ca_detail_1762512270723
2000,0,38,GEBIRGE,0.536,2.0,1.13,93.38,106,1,same,ca_detail_1762512270723
2000,0,39,WÜSTE,0.536,1.616,1.13,11.69,12,1,same,ca_detail_1762512270723
2000,0,40,OZEAN,1.185,2.0,0.649,200.0,809,1,same,ca_detail_1762512270723
2000,0,41,SUMPF,2.0,2.0,1.733,200.0,132,1,same,ca_detail_1762512270723
2000,0,42,GEBIRGE,1.536,2.0,0.649,200.0,674,1,same,ca_detail_1762512270723
2000,0,43,GRASLAND,2.0,2.0,1.733,200.0,47,1,same,ca_detail_1762512270723
2000,0,44,GEBIRGE,2.0,2.0,2.0,159.47,70,1,same,ca_detail_1762512270723
2000,0,45,GRASLAND,1.503,2.0,0.584,200.0,588,1,same,ca_detail_1762512270723
2000,0,46,OZEAN,1.831,2.0,1.696,200.0,189,1,same,ca_detail_1762512270723
2000,0,47,OZEAN,1.831,2.0,1.696,200.0,33,1,same,ca_detail_1762512270723
2000,0,48,GRASLAND,1.831,2.0,1.696,200.0,108,1,same,ca_detail_1762512270723
2000,0,49,WÜSTE,0.5,2.0,1.106,25.6,12,1,same,ca_detail_1762512270723
2000,1,0,WÜSTE,0.682,2.0,1.106,100.0,0,1,same,ca_detail_1762512270723
2000,1,1,WALD,0.682,1.853,1.581,200.0,73,1,same,ca_detail_1762512270723
2000,1,2,OZEAN,0.515,1.524,0.755,200.0,520,1,same,ca_detail_1762512270723
2000,1,3,GRASLAND,0.676,1.718,2.0,200.0,126,1,same,ca_detail_1762512270723
2000,1,4,TUNDRA,0.537,1.458,2.0,55.2,12,1,same,ca_detail_1762512270723
2000,1,5,OZEAN,0.676,1.454,2.0,56.27,53,1,same,ca_detail_1762512270723
2000,1,6,VULKAN,0.562,2.0,0.544,48.4,6,1,same,ca_detail_1762512270723
2000,1,7,GRASLAND,0.923,2.0,0.735,200.0,310,1,same,ca_detail_1762512270723
