Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
0.682,2.0,1.106,150.0,70,SUMPF,same
0.72,1.633,1.38,200.0,477,GRASLAND,same
0.5,1.269,1.876,200.0,263,SUMPF,same
0.537,1.458,2.0,93.15,87,GRASLAND,same
0.676,1.454,2.0,92.11,1,WÜSTE,same
0.537,1.458,1.586,44.02,6,VULKAN,same
0.562,2.0,0.544,38.0,10,WÜSTE,same
0.562,2.0,0.544,178.46,42,SUMPF,same
0.835,2.0,1.233,200.0,1920,SUMPF,same
1.245,2.0,0.735,200.0,224,GRASLAND,same
0.582,2.0,2.0,14.0,10,VULKAN,same
0.654,2.0,2.0,59.17,24,TUNDRA,same
0.5,2.0,1.216,38.0,10,WÜSTE,same
0.5,2.0,2.0,98.54,17,TUNDRA,same
0.5,1.525,1.318,100.0,0,WÜSTE,same
0.5,2.0,2.0,108.32,78,SUMPF,same
0.5,2.0,2.0,94.27,67,TUNDRA,same
0.5,2.0,2.0,200.0,185,OZEAN,same
0.5,2.0,2.0,200.0,78,OZEAN,same
0.5,2.0,2.0,31.2,8,VULKAN,same
0.609,1.497,2.0,42.76,6,VULKAN,same
0.609,1.765,2.0,149.6,82,WALD,same
0.609,1.765,2.0,81.88,11,TUNDRA,same
0.599,1.841,2.0,34.15,59,TUNDRA,same
1.877,1.489,1.855,57.09,35,SUMPF,same
1.542,1.526,1.449,62.08,4,VULKAN,same
1.158,1.526,1.449,11.3,25,TUNDRA,same
2.0,1.869,1.827,190.84,14,OZEAN,same
1.58,1.869,1.827,200.0,102,WALD,same
1.58,1.869,1.827,200.0,6,WALD,same
1.58,1.869,1.827,94.79,15,GEBIRGE,same
1.542,2.0,1.827,154.7,229,WÜSTE,same
1.054,2.0,1.966,200.0,151,WALD,same
1.054,2.0,1.786,35.07,35,WÜSTE,same
0.981,2.0,1.541,200.0,425,OZEAN,same
0.901,2.0,1.13,75.2,4,WÜSTE,same
0.901,2.0,1.13,200.0,48,WALD,same
0.648,2.0,1.13,200.0,68,WALD,same
0.536,2.0,1.13,93.38,106,GEBIRGE,same
0.536,1.616,1.13,11.69,12,WÜSTE,same
1.185,2.0,0.649,200.0,809,OZEAN,same
2.0,2.0,1.733,200.0,132,SUMPF,same
1.536,2.0,0.649,200.0,674,GEBIRGE,same
2.0,2.0,1.733,200.0,47,GRASLAND,same
2.0,2.0,2.0,159.47,70,GEBIRGE,same
1.503,2.0,0.584,200.0,588,GRASLAND,same
1.831,2.0,1.696,200.0,189,OZEAN,same
1.831,2.0,1.696,200.0,33,OZEAN,same
1.831,2.0,1.696,200.0,108,GRASLAND,same
0.5,2.0,1.106,25.6,12,WÜSTE,same
0.682,2.0,1.106,100.0,0,WÜSTE,same
0.682,1.853,1.581,200.0,73,WALD,same
0.515,1.524,0.755,200.0,520,OZEAN,same
0.676,1.718,2.0,200.0,126,GRASLAND,same
0.537,1.458,2.0,55.2,12,TUNDRA,same
0.676,1.454,2.0,56.27,53,OZEAN,same
0.562,2.0,0.544,48.4,6,VULKAN,same
0.923,2.0,0.735,200.0,310,GRASLAND,same
0.923,2.0,0.735,200.0,273,SUMPF,same
0.738,2.0,1.066,200.0,646,GEBIRGE,same
0.5,2.0,2.0,101.89,207,TUNDRA,same
0.5,2.0,2.0,119.86,33,OZEAN,same
0.5,2.0,1.411,69.0,5,WÜSTE,same
0.5,2.0,2.0,200.0,23,WALD,same
0.572,2.0,2.0,22.6,9,VULKAN,same
0.5,2.0,2.0,95.08,72,GEBIRGE,same
0.5,2.0,2.0,177.77,95,OZEAN,same
0.639,1.875,1.395,200.0,491,WALD,same
0.5,2.0,2.0,200.0,74,SUMPF,same
0.5,2.0,1.774,41.54,75,TUNDRA,same
0.609,1.765,2.0,37.91,9,WÜSTE,same
0.5,1.765,2.0,200.0,106,WALD,same
0.555,1.765,2.0,44.81,8,WÜSTE,same
0.5,1.912,2.0,55.4,97,TUNDRA,same
1.542,1.634,1.575,8.41,34,TUNDRA,same
1.542,1.526,1.449,112.47,95,SUMPF,same
1.542,2.0,1.277,88.93,34,TUNDRA,same
1.542,1.526,1.277,189.01,134,SUMPF,same
2.0,2.0,1.827,50.74,9,TUNDRA,same
1.866,1.869,1.827,14.9,10,VULKAN,same
0.554,2.0,2.0,77.0,273,TUNDRA,same
1.016,2.0,0.972,200.0,372,GEBIRGE,same
1.054,2.0,1.966,200.0,146,OZEAN,same
0.912,1.506,1.786,122.4,11,GRASLAND,same
1.021,2.0,1.576,200.0,288,WALD,same
0.901,2.0,1.13,200.0,45,GRASLAND,same
0.547,1.46,1.13,165.84,69,OZEAN,same
0.547,2.0,1.13,200.0,230,OZEAN,same
0.669,2.0,1.078,95.02,7,TUNDRA,same
0.536,2.0,1.13,200.0,112,OZEAN,same
2.0,2.0,1.733,59.97,21,WÜSTE,same
2.0,1.683,1.789,200.0,31,SUMPF,same
1.087,2.0,0.528,200.0,688,WALD,same
2.0,2.0,2.0,72.67,15,WÜSTE,same
1.503,2.0,0.528,200.0,675,WALD,same
2.0,2.0,2.0,84.98,2,VULKAN,same
1.831,2.0,1.696,200.0,184,OZEAN,same
2.0,2.0,1.696,50.51,17,TUNDRA,same
1.899,2.0,1.696,99.65,34,TUNDRA,same
1.136,1.632,0.573,3.35,288,GEBIRGE,same
0.591,1.853,1.581,76.0,20,TUNDRA,same
0.5,1.12,1.876,105.16,108,GRASLAND,same
0.5,1.633,1.581,200.0,162,SUMPF,same
0.647,1.524,0.755,200.0,513,OZEAN,same
0.676,1.454,2.0,157.11,112,SUMPF,same
1.589,2.0,1.93,200.0,86,SUMPF,same
1.419,2.0,1.93,53.65,11,WÜSTE,same
1.073,2.0,1.414,200.0,600,GRASLAND,same
1.098,1.59,0.897,42.36,81,GEBIRGE,same
1.534,1.825,0.897,77.4,4,WÜSTE,same
1.454,1.825,0.897,46.39,9,WÜSTE,same
0.5,2.0,2.0,34.8,11,WÜSTE,same
0.5,2.0,2.0,119.35,111,OZEAN,same
0.5,2.0,2.0,200.0,167,WALD,same
0.5,2.0,2.0,155.53,40,OZEAN,same
0.545,2.0,1.969,25.6,12,WÜSTE,same
0.5,2.0,2.0,65.22,51,GEBIRGE,same
0.5,2.0,2.0,99.49,6,TUNDRA,same
0.5,1.953,2.0,23.95,12,WÜSTE,same
0.515,2.0,1.627,200.0,65,GRASLAND,same
0.5,1.478,2.0,155.99,110,SUMPF,same
0.5,1.765,2.0,164.83,15,WALD,same
0.5,1.854,2.0,11.45,10,VULKAN,same
0.609,2.0,2.0,19.4,13,WÜSTE,same
0.504,1.202,1.338,200.0,200,WALD,same
0.5,1.746,2.0,200.0,265,WALD,same
1.542,1.526,1.449,110.55,75,OZEAN,same
2.0,1.74,2.0,96.59,1,WÜSTE,same
1.542,1.526,1.277,119.78,48,SUMPF,same
1.079,1.869,1.787,193.84,18,OZEAN,same
0.549,1.956,1.898,39.36,158,TUNDRA,same
0.759,2.0,1.966,200.0,201,SUMPF,same
0.912,1.506,1.234,61.43,5,WÜSTE,same
0.9,1.506,1.786,90.48,1,VULKAN,same
1.021,2.0,1.576,200.0,398,GEBIRGE,same
0.5,2.0,0.694,200.0,692,OZEAN,same
0.547,1.46,1.449,200.0,169,SUMPF,same
0.5,1.747,0.985,200.0,829,SUMPF,same
