Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
1200,29,44,OZEAN,0.927,1.934,0.69,200.0,402,1,steps,ca_detail_1762512788880
2000,24,15,GRASLAND,1.421,2.0,1.73,200.0,415,1,seed,ca_detail_1762512446573
2000,21,16,TUNDRA,0.952,2.0,1.907,194.9,1212,1,population,ca_detail_1762513065927-pop50
400,1,8,SUMPF,1.042,2.0,1.127,200.0,105,1,steps,ca_detail_1762512748570
2000,18,24,SUMPF,0.592,1.857,1.718,200.0,156,1,seed,ca_detail_1762512446573
1200,48,13,WÜSTE,0.549,1.687,1.574,35.78,9,1,steps,ca_detail_1762512788880
2000,35,49,TUNDRA,0.57,2.0,1.984,140.95,215,1,same,ca_detail_1762512270723
2000,17,32,GEBIRGE,1.933,2.0,1.42,200.0,359,1,seed,ca_detail_1762512624538
2000,28,8,WALD,1.789,1.87,0.665,150.0,76,1,population,ca_detail_1762513195633-pop625
2000,44,36,VULKAN,1.012,2.0,2.0,22.6,9,1,same,ca_detail_1762512398038
2000,16,14,OZEAN,0.933,1.568,1.594,200.0,1022,1,steps,ca_detail_1762512849242
2000,26,32,GEBIRGE,1.412,2.0,0.889,200.0,390,1,seed,ca_detail_1762512624538
2000,42,32,GRASLAND,0.911,2.0,0.676,200.0,308,1,seed,ca_detail_1762512570763
2000,19,46,GEBIRGE,0.652,2.0,0.887,200.0,509,1,same,ca_detail_1762512370832
2000,26,23,TUNDRA,0.906,1.808,1.512,45.18,26,1,same,ca_detail_1762512310071
2000,31,8,SUMPF,0.5,1.959,1.978,200.0,215,1,population,ca_detail_1762513195633-pop625
2000,2,10,GRASLAND,0.56,1.534,1.706,200.0,162,1,seed,ca_detail_1762512483895
800,42,1,SUMPF,1.574,1.359,1.333,200.0,273,1,steps,ca_detail_1762512767599
2000,17,41,TUNDRA,2.0,2.0,1.397,45.89,325,1,same,ca_detail_1762512370832
2000,39,12,VULKAN,1.728,2.0,2.0,83.83,2,1,population,ca_detail_1762512974066-pop1
2000,13,6,SUMPF,0.5,1.971,1.013,200.0,549,1,population,ca_detail_1762512974066-pop1
