,,Anpassung,Anpassung,Anpassung,Anpassung,Anpassung,Effizienz,Effizienz,Effizienz,Effizienz,Mobilitaet,Mobilitaet,Mobilitaet,Mobilitaet,Energie,Energie,Energie,Energie,Alter,Alter,Alter,Alter
,,mean,std,min,max,count,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Kategorie,Umgebung,,,,,,,,,,,,,,,,,,,,,
population,GEBIRGE,1.228,0.515,0.5,2.0,1627,1.904,0.175,0.872,2.0,1.35,0.499,0.5,2.0,159.606,55.588,0.12,200.0,371.955,392.865,0,2000
population,GRASLAND,1.208,0.512,0.5,2.0,1315,1.827,0.261,0.868,2.0,1.34,0.503,0.5,2.0,191.872,22.94,32.5,200.0,403.333,443.778,0,1993
population,OZEAN,1.2,0.511,0.5,2.0,1537,1.841,0.241,0.968,2.0,1.339,0.497,0.5,2.0,181.022,37.399,9.82,200.0,393.916,426.082,0,1983
population,SUMPF,1.201,0.508,0.5,2.0,1652,1.84,0.25,0.82,2.0,1.345,0.5,0.5,2.0,185.237,32.997,25.4,200.0,389.074,423.06,0,2000
population,TUNDRA,1.259,0.529,0.5,2.0,1598,1.928,0.17,0.875,2.0,1.506,0.447,0.5,2.0,83.382,51.472,0.05,200.0,229.421,318.35,0,2000
population,VULKAN,1.263,0.526,0.5,2.0,1548,1.852,0.243,0.785,2.0,1.456,0.466,0.5,2.0,59.466,41.029,0.13,200.0,60.549,175.41,0,1919
population,WALD,1.219,0.518,0.5,2.0,1546,1.825,0.268,0.643,2.0,1.321,0.501,0.5,2.0,192.885,20.767,60.47,200.0,391.687,427.886,0,2000
population,WÜSTE,1.277,0.537,0.5,2.0,1611,1.867,0.233,0.685,2.0,1.45,0.463,0.5,2.0,60.509,41.348,0.08,200.0,94.621,218.686,0,1934
same,GEBIRGE,1.195,0.522,0.5,2.0,1627,1.912,0.169,0.922,2.0,1.316,0.503,0.5,2.0,158.301,55.213,0.44,200.0,383.822,429.53,0,1957
same,GRASLAND,1.183,0.526,0.5,2.0,1314,1.807,0.275,0.817,2.0,1.265,0.507,0.5,2.0,191.475,23.234,22.28,200.0,393.836,440.043,0,1952
same,OZEAN,1.174,0.526,0.5,2.0,1537,1.837,0.251,0.824,2.0,1.295,0.507,0.5,2.0,180.056,39.337,9.69,200.0,388.984,439.998,0,1997
same,SUMPF,1.191,0.527,0.5,2.0,1642,1.824,0.263,0.715,2.0,1.282,0.5,0.5,2.0,182.621,35.813,44.01,200.0,395.723,444.577,0,1989
same,TUNDRA,1.232,0.538,0.5,2.0,1596,1.914,0.189,0.912,2.0,1.443,0.479,0.5,2.0,83.32,51.104,0.0,200.0,242.716,331.002,0,1938
same,VULKAN,1.242,0.519,0.5,2.0,1548,1.836,0.245,0.705,2.0,1.402,0.494,0.5,2.0,60.795,40.534,0.09,200.0,66.111,185.764,0,1920
same,WALD,1.17,0.507,0.5,2.0,1544,1.827,0.26,0.646,2.0,1.288,0.5,0.5,2.0,192.408,22.305,24.01,200.0,395.275,448.288,0,2000
same,WÜSTE,1.258,0.552,0.5,2.0,1612,1.865,0.233,0.524,2.0,1.423,0.485,0.5,2.0,60.847,41.509,0.07,200.0,80.477,185.818,0,1829
seed,GEBIRGE,1.29,0.522,0.5,2.0,1492,1.904,0.176,0.853,2.0,1.272,0.507,0.5,2.0,159.027,55.266,0.75,200.0,362.058,406.266,0,1955
seed,GRASLAND,1.261,0.508,0.5,2.0,1545,1.809,0.276,0.708,2.0,1.285,0.508,0.5,2.0,190.461,24.968,47.53,200.0,403.074,457.874,0,1974
